date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,acd,0.0433369603,40.78717684
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,cch,4.521997369,144.1060821
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,fru,61.08221179,65.96442493
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,fwe,0.0005534756289,8.163408162
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ior,0.8588488079,8.608513557
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ldu,245.1201598,20.04037924
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,mru,1.32E-05,13.21681278
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ozd,3.73E-07,0.3709973519
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pco,0.009382035604,9.253632837
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pma,6.88E-07,87.51796355
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,swe,0.03359873932,42.97569137
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,tre,0.09409498583,16.66245966
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,wtu,1.752558554,10.97192395
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ecs,410.0378888,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pef,510.5127994,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,acd,0.009558368023,8.995989663
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,cch,1.127907246,35.94391614
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,fru,11.38552912,12.29555805
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,fwe,2.36E-08,0.0003481082263
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ior,0.01539632112,0.1543222019
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ldu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,mru,9.08E-08,0.09094555712
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ozd,6.73E-13,6.69E-07
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pco,0.006924131039,6.829367214
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pma,3.54E-07,45.03664762
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,swe,0.002511321143,3.212196784
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,tre,0.02740608308,4.853104016
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ecs,102.7251468,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pef,127.9392587,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,acd,0.02962359918,27.88065822
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,cch,2.881060004,91.81302767
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,etf,0,0
